Gen,df1_t0,df2_t0,df3_t0,df4_t0,df5_t0,df6_t0,df7_t0,df8_t0,df9_t0,df10_t0,df11_t0,df12_t0,df13_t0,df14_t0,df15_t0
0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0,10,10,8,8,8,7,9,10,10,9,10,7,9,9,10
0,4,4,4,0,4,5,8,4,3,7,6,4,3,3,7
0,0,1,1,0,2,1,2,1,1,1,1,1,1,0,0
1,6,6,8,4,7,6,11,7,5,10,8,9,6,3,8
1,5,6,7,3,7,3,7,5,4,10,5,6,3,2,7
1,3,2,3,1,5,2,1,3,2,5,4,3,2,2,2
1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
2,7,6,8,4,7,6,10,7,5,16,11,9,6,3,8
2,7,5,6,4,7,5,4,5,4,12,10,7,4,3,6
2,4,3,3,3,2,1,0,2,1,7,5,6,1,1,3
2,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0
3,5,6,1,2,6,0,2,2,5,10,7,4,0,0,1
3,5,4,0,2,4,0,2,2,4,9,6,3,0,0,1
3,1,3,0,1,3,0,0,0,1,5,3,1,0,0,0
3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
4,6,6,0,1,7,0,8,3,5,20,8,5,0,0,1
4,6,4,0,1,7,0,4,3,5,18,6,5,0,0,1
4,3,2,0,1,4,0,2,0,3,7,4,2,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
