Gen,df0_t0,df0_t1,df1_t0,df1_t1,df2_t0,df2_t1,df3_t0,df3_t1,df4_t0,df4_t1,df5_t0,df5_t1,df_sum0,df_sum1
0,10,10,10,10,10,10,10,10,10,10,10,10,60,60
0,7,7,10,7,10,10,8,7,8,9,8,8,51,48
0,4,0,4,0,4,0,4,0,0,0,4,0,20,0
0,0,0,0,0,1,0,1,0,0,0,2,0,4,0
1,4,4,6,7,6,10,8,6,4,9,7,9,35,45
1,4,1,5,4,6,6,7,4,3,6,7,5,32,26
1,1,0,3,0,2,0,3,0,1,0,5,0,15,0
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,4,5,7,11,6,14,8,9,4,11,7,13,36,63
2,4,4,7,11,5,11,6,5,4,5,7,9,33,45
2,2,0,4,0,3,0,3,0,3,0,2,0,17,0
2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0,1,5,6,6,10,1,6,2,10,6,8,20,41
3,0,1,5,4,4,4,0,6,2,4,4,3,15,22
3,0,0,1,0,3,0,0,0,1,0,3,0,8,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,6,9,6,13,0,6,1,9,7,10,20,47
4,0,0,6,6,4,10,0,4,1,8,7,6,18,34
4,0,0,3,0,2,0,0,0,1,0,4,0,10,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
