flowerData,beeData,lifespanData,eggsData,visitedFlowers,bee_types,beeDataHistory,fbRatio
"[{'Lavender': 508, 'Bee balm': 514, 'Sunflower': 775, 'Coneflower': 1201, 'Blueberry': 1002}
 {'Lavender': 508, 'Bee balm': 514, 'Sunflower': 775, 'Coneflower': 1201, 'Blueberry': 1002}
 {'Lavender': 508, 'Bee balm': 514, 'Sunflower': 775, 'Coneflower': 1201, 'Blueberry': 1002}
 {'Lavender': 508, 'Bee balm': 514, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[10 10]
 [ 8  7]
 [ 4  0]
 [ 1  0]]",17.0,0,109,1,0,200.0
"[{'Lavender': 740, 'Bee balm': 748, 'Sunflower': 1318, 'Coneflower': 1905, 'Blueberry': 1721}
 {'Lavender': 740, 'Bee balm': 748, 'Sunflower': 1318, 'Coneflower': 1905, 'Blueberry': 1721}
 {'Lavender': 740, 'Bee balm': 748, 'Sunflower': 1318, 'Coneflower': 1905, 'Blueberry': 1721}
 {'Lavender': 740, 'Bee balm': 748, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[8 6]
 [7 4]
 [3 0]
 [1 0]]",17.0,0,130,1,0,459.42857142857144
"[{'Lavender': 511, 'Bee balm': 573, 'Sunflower': 1174, 'Coneflower': 1200, 'Blueberry': 1525}
 {'Lavender': 511, 'Bee balm': 573, 'Sunflower': 1174, 'Coneflower': 1200, 'Blueberry': 1525}
 {'Lavender': 511, 'Bee balm': 573, 'Sunflower': 1174, 'Coneflower': 1200, 'Blueberry': 1525}
 {'Lavender': 511, 'Bee balm': 573, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[8 9]
 [6 5]
 [3 0]
 [0 0]]",20.0,0,95,0,0,293.11764705882354
"[{'Lavender': 445, 'Bee balm': 599, 'Sunflower': 1509, 'Coneflower': 1369, 'Blueberry': 1995}
 {'Lavender': 445, 'Bee balm': 599, 'Sunflower': 1509, 'Coneflower': 1369, 'Blueberry': 1995}
 {'Lavender': 445, 'Bee balm': 599, 'Sunflower': 1509, 'Coneflower': 1369, 'Blueberry': 1995}
 {'Lavender': 445, 'Bee balm': 599, 'Sunflower': 731, 'Coneflower': 655, 'Blueberry': 966}]","[[1 6]
 [0 6]
 [0 0]
 [0 0]]",20.0,0,92,0,0,845.2857142857143
"[{'Lavender': 117, 'Bee balm': 255, 'Sunflower': 830, 'Coneflower': 579, 'Blueberry': 993}
 {'Lavender': 117, 'Bee balm': 255, 'Sunflower': 830, 'Coneflower': 579, 'Blueberry': 993}
 {'Lavender': 117, 'Bee balm': 255, 'Sunflower': 830, 'Coneflower': 579, 'Blueberry': 993}
 {'Lavender': 117, 'Bee balm': 255, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[0 6]
 [0 4]
 [0 0]
 [0 0]]",21.0,0,180,1,0,462.3333333333333
,,23.0,1,155,1,0,
,,23.0,1,160,1,0,
,,25.0,0,234,1,0,
,,25.0,1,182,1,0,
,,27.0,1,192,1,0,
,,28.0,1,216,1,0,
,,30.0,0,112,0,0,
,,40.0,1,156,0,0,
,,40.0,0,171,0,0,
,,42.0,1,153,0,0,
,,53.0,1,166,0,0,
,,60.0,1,182,0,0,
,,61.0,2,204,0,0,
,,84.0,2,213,0,0,
,,90.0,1,265,1,0,
,,15.0,0,69,0,1,
,,18.0,1,191,1,1,
,,21.0,1,177,1,1,
,,24.0,1,195,1,1,
,,25.0,1,175,1,1,
,,25.0,1,197,1,1,
,,33.0,1,125,0,1,
,,35.0,1,165,0,1,
,,36.0,1,165,0,1,
,,39.0,1,189,0,1,
,,60.0,1,189,0,1,
,,60.0,1,165,0,1,
,,63.0,2,198,0,1,
,,74.0,3,192,0,1,
,,5.0,0,22,0,2,
,,8.0,0,39,0,2,
,,18.0,0,164,1,2,
,,18.0,0,165,1,2,
,,22.0,0,171,1,2,
,,22.0,0,188,1,2,
,,25.0,0,202,1,2,
,,26.0,1,257,1,2,
,,26.0,0,105,0,2,
,,27.0,1,202,1,2,
,,27.0,1,221,1,2,
,,34.0,0,166,0,2,
,,41.0,0,174,0,2,
,,49.0,1,195,0,2,
,,53.0,1,190,0,2,
,,60.0,0,174,0,2,
,,60.0,1,195,0,2,
,,13.0,0,76,0,3,
,,23.0,1,192,1,3,
,,23.0,1,185,1,3,
,,25.0,1,234,1,3,
,,27.0,1,194,1,3,
,,28.0,1,213,1,3,
,,28.0,1,233,1,3,
,,16.0,0,98,1,4,
,,19.0,0,52,1,4,
,,23.0,0,129,1,4,
,,28.0,0,148,1,4,
,,28.0,0,165,1,4,
,,90.0,0,206,1,4,
