flowerData,beeData,lifespanData,eggsData,visitedFlowers,bee_types,beeDataHistory,fbRatio
"[{'Lavender': 501, 'Bee balm': 491, 'Sunflower': 721, 'Coneflower': 1261, 'Blueberry': 1026}
 {'Lavender': 501, 'Bee balm': 491, 'Sunflower': 721, 'Coneflower': 1261, 'Blueberry': 1026}
 {'Lavender': 501, 'Bee balm': 491, 'Sunflower': 721, 'Coneflower': 1261, 'Blueberry': 1026}
 {'Lavender': 501, 'Bee balm': 491, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[10 10]
 [ 8  7]
 [ 6  0]
 [ 1  0]]",0.0,0,0,0,0,200.0
"[{'Lavender': 862, 'Bee balm': 790, 'Sunflower': 1126, 'Coneflower': 1865, 'Blueberry': 1712}
 {'Lavender': 862, 'Bee balm': 790, 'Sunflower': 1126, 'Coneflower': 1865, 'Blueberry': 1712}
 {'Lavender': 862, 'Bee balm': 790, 'Sunflower': 1126, 'Coneflower': 1865, 'Blueberry': 1712}
 {'Lavender': 862, 'Bee balm': 790, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[8 7]
 [7 6]
 [3 0]
 [0 0]]",16.0,0,130,1,0,423.6666666666667
"[{'Lavender': 549, 'Bee balm': 623, 'Sunflower': 953, 'Coneflower': 1292, 'Blueberry': 1654}
 {'Lavender': 549, 'Bee balm': 623, 'Sunflower': 953, 'Coneflower': 1292, 'Blueberry': 1654}
 {'Lavender': 549, 'Bee balm': 623, 'Sunflower': 953, 'Coneflower': 1292, 'Blueberry': 1654}
 {'Lavender': 549, 'Bee balm': 623, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[ 8 12]
 [ 5  6]
 [ 1  0]
 [ 0  0]]",18.0,0,60,0,0,253.55
"[{'Lavender': 694, 'Bee balm': 733, 'Sunflower': 1465, 'Coneflower': 1511, 'Blueberry': 2182}
 {'Lavender': 694, 'Bee balm': 733, 'Sunflower': 1465, 'Coneflower': 1511, 'Blueberry': 2182}
 {'Lavender': 694, 'Bee balm': 733, 'Sunflower': 1465, 'Coneflower': 1511, 'Blueberry': 2182}
 {'Lavender': 694, 'Bee balm': 733, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[0 6]
 [0 4]
 [0 0]
 [0 0]]",19.0,0,144,1,0,1097.5
"[{'Lavender': 204, 'Bee balm': 216, 'Sunflower': 627, 'Coneflower': 551, 'Blueberry': 826}
 {'Lavender': 204, 'Bee balm': 216, 'Sunflower': 627, 'Coneflower': 551, 'Blueberry': 826}
 {'Lavender': 204, 'Bee balm': 216, 'Sunflower': 627, 'Coneflower': 551, 'Blueberry': 826}
 {'Lavender': 204, 'Bee balm': 216, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[0 7]
 [0 4]
 [0 0]
 [0 0]]",19.0,0,146,1,0,346.2857142857143
,,23.0,1,193,1,0,
,,24.0,1,167,1,0,
,,24.0,1,203,1,0,
,,29.0,1,217,1,0,
,,34.0,0,138,0,0,
,,40.0,0,145,0,0,
,,47.0,1,131,0,0,
,,56.0,1,167,0,0,
,,62.0,1,160,0,0,
,,63.0,2,202,0,0,
,,66.0,1,157,0,0,
,,70.0,2,164,0,0,
,,90.0,1,247,1,0,
,,90.0,1,209,1,0,
,,91.0,1,259,1,1,
,,16.0,0,89,0,1,
,,25.0,1,244,1,1,
,,26.0,1,189,1,1,
,,26.0,1,202,1,1,
,,27.0,1,267,1,1,
,,29.0,1,229,1,1,
,,30.0,1,133,0,1,
,,39.0,1,144,0,1,
,,41.0,2,129,0,1,
,,43.0,2,141,0,1,
,,51.0,2,192,0,1,
,,53.0,2,152,0,1,
,,60.0,2,129,0,1,
,,67.0,2,158,0,1,
,,8.0,0,38,0,2,
,,10.0,0,92,1,2,
,,15.0,0,131,1,2,
,,17.0,0,199,1,2,
,,18.0,0,94,0,2,
,,18.0,0,172,1,2,
,,19.0,0,186,1,2,
,,21.0,0,177,1,2,
,,21.0,0,80,0,2,
,,22.0,0,189,1,2,
,,23.0,0,100,0,2,
,,24.0,1,214,1,2,
,,24.0,1,229,1,2,
,,26.0,0,271,1,2,
,,26.0,1,141,1,2,
,,27.0,0,119,0,2,
,,34.0,0,152,0,2,
,,37.0,0,168,0,2,
,,60.0,0,168,0,2,
,,90.0,0,168,0,2,
,,18.0,0,168,1,3,
,,21.0,1,204,1,3,
,,23.0,1,185,1,3,
,,24.0,1,191,1,3,
,,28.0,1,250,1,3,
,,91.0,2,202,1,4,
,,19.0,0,88,1,4,
,,19.0,0,123,1,4,
,,23.0,0,119,1,4,
,,23.0,0,141,1,4,
,,26.0,0,139,1,4,
