flowerData,beeData,lifespanData,eggsData,visitedFlowers,bee_types,beeDataHistory,fbRatio
"[{'Lavender': 488, 'Bee balm': 511, 'Sunflower': 717, 'Coneflower': 1252, 'Blueberry': 1032}
 {'Lavender': 488, 'Bee balm': 511, 'Sunflower': 717, 'Coneflower': 1252, 'Blueberry': 1032}
 {'Lavender': 488, 'Bee balm': 511, 'Sunflower': 717, 'Coneflower': 1252, 'Blueberry': 1032}
 {'Lavender': 488, 'Bee balm': 511, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[10 10]
 [ 9  8]
 [ 8  0]
 [ 2  0]]",16.0,0,67,0,0,200.0
"[{'Lavender': 820, 'Bee balm': 874, 'Sunflower': 1467, 'Coneflower': 2129, 'Blueberry': 1723}
 {'Lavender': 820, 'Bee balm': 874, 'Sunflower': 1467, 'Coneflower': 2129, 'Blueberry': 1723}
 {'Lavender': 820, 'Bee balm': 874, 'Sunflower': 1467, 'Coneflower': 2129, 'Blueberry': 1723}
 {'Lavender': 820, 'Bee balm': 874, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[11  8]
 [ 7  4]
 [ 1  0]
 [ 0  0]]",19.0,0,177,1,0,369.10526315789474
"[{'Lavender': 510, 'Bee balm': 570, 'Sunflower': 1321, 'Coneflower': 1622, 'Blueberry': 1597}
 {'Lavender': 510, 'Bee balm': 570, 'Sunflower': 1321, 'Coneflower': 1622, 'Blueberry': 1597}
 {'Lavender': 510, 'Bee balm': 570, 'Sunflower': 1321, 'Coneflower': 1622, 'Blueberry': 1597}
 {'Lavender': 510, 'Bee balm': 570, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[10  8]
 [10  3]
 [ 4  0]
 [ 0  0]]",21.0,0,133,1,0,312.22222222222223
"[{'Lavender': 478, 'Bee balm': 590, 'Sunflower': 1643, 'Coneflower': 1560, 'Blueberry': 2262}
 {'Lavender': 478, 'Bee balm': 590, 'Sunflower': 1643, 'Coneflower': 1560, 'Blueberry': 2262}
 {'Lavender': 478, 'Bee balm': 590, 'Sunflower': 1643, 'Coneflower': 1560, 'Blueberry': 2262}
 {'Lavender': 478, 'Bee balm': 590, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[2 8]
 [2 5]
 [2 0]
 [0 0]]",23.0,1,161,1,0,653.3
"[{'Lavender': 285, 'Bee balm': 424, 'Sunflower': 1066, 'Coneflower': 865, 'Blueberry': 1494}
 {'Lavender': 285, 'Bee balm': 424, 'Sunflower': 1066, 'Coneflower': 865, 'Blueberry': 1494}
 {'Lavender': 285, 'Bee balm': 424, 'Sunflower': 1066, 'Coneflower': 865, 'Blueberry': 1494}
 {'Lavender': 285, 'Bee balm': 424, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[5 8]
 [4 6]
 [2 0]
 [0 0]]",23.0,1,175,1,0,318.0
,,24.0,1,177,1,0,
,,24.0,1,173,1,0,
,,26.0,1,188,1,0,
,,27.0,1,199,1,0,
,,27.0,1,209,1,0,
,,44.0,1,188,0,0,
,,46.0,1,171,0,0,
,,49.0,1,167,0,0,
,,55.0,1,176,0,0,
,,56.0,1,163,0,0,
,,65.0,1,191,0,0,
,,67.0,1,177,0,0,
,,70.0,2,187,0,0,
,,83.0,2,203,0,0,
,,90.0,1,250,1,0,
,,0.0,0,0,0,1,
,,7.0,0,39,0,1,
,,8.0,0,45,0,1,
,,18.0,1,173,1,1,
,,19.0,1,181,1,1,
,,21.0,0,109,0,1,
,,21.0,1,201,1,1,
,,21.0,1,178,1,1,
,,24.0,1,185,1,1,
,,26.0,1,212,1,1,
,,28.0,1,127,0,1,
,,28.0,1,203,1,1,
,,29.0,1,144,0,1,
,,36.0,1,161,0,1,
,,36.0,1,124,0,1,
,,37.0,1,174,0,1,
,,39.0,1,177,0,1,
,,60.0,1,174,0,1,
,,60.0,1,124,0,1,
,,12.0,0,111,1,2,
,,21.0,1,197,1,2,
,,21.0,0,159,1,2,
,,22.0,0,205,1,2,
,,22.0,1,201,1,2,
,,23.0,1,179,1,2,
,,23.0,0,122,0,2,
,,25.0,0,106,0,2,
,,26.0,1,246,1,2,
,,29.0,0,144,0,2,
,,29.0,0,149,0,2,
,,34.0,0,171,0,2,
,,35.0,0,180,0,2,
,,46.0,1,191,0,2,
,,55.0,1,194,0,2,
,,60.0,0,180,0,2,
,,60.0,0,171,0,2,
,,60.0,1,191,0,2,
,,19.0,1,197,1,3,
,,20.0,1,192,1,3,
,,20.0,1,187,1,3,
,,25.0,1,206,1,3,
,,25.0,1,229,1,3,
,,27.0,1,214,1,3,
,,28.0,1,221,1,3,
,,49.0,2,187,0,3,
,,60.0,2,187,0,3,
,,90.0,2,187,0,3,
,,19.0,0,131,1,4,
,,20.0,0,73,0,4,
,,20.0,0,155,1,4,
,,24.0,0,170,1,4,
,,24.0,0,199,1,4,
,,25.0,1,202,1,4,
,,25.0,0,167,1,4,
,,26.0,0,64,0,4,
,,27.0,1,233,1,4,
,,28.0,1,236,1,4,
,,36.0,0,150,0,4,
,,62.0,1,170,0,4,
,,64.0,1,157,0,4,
