flowerData,beeData,lifespanData,eggsData,visitedFlowers,bee_types,beeDataHistory,fbRatio
"[{'Lavender': 489, 'Bee balm': 486, 'Sunflower': 750, 'Coneflower': 1272, 'Blueberry': 1003}
 {'Lavender': 489, 'Bee balm': 486, 'Sunflower': 750, 'Coneflower': 1272, 'Blueberry': 1003}
 {'Lavender': 489, 'Bee balm': 486, 'Sunflower': 750, 'Coneflower': 1272, 'Blueberry': 1003}
 {'Lavender': 489, 'Bee balm': 486, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[10 10]
 [10  7]
 [ 4  0]
 [ 1  0]]",13,0,23,1,0,200.0
,,20,0,32,1,0,
,,21,0,38,1,0,
,,24,0,44,1,0,
,,25,0,38,1,0,
,,26,0,41,1,0,
,,27,0,38,1,0,
,,27,0,30,0,0,
,,27,0,33,1,0,
,,29,0,47,1,0,
,,29,0,29,0,0,
,,34,0,31,0,0,
,,39,0,31,0,0,
,,40,0,31,0,0,
,,43,0,33,0,0,
,,52,0,36,0,0,
,,60,0,44,0,0,
,,61,0,41,0,0,
